"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/01/2023";"0000";"28,6";"87,0";"979,8";"0,0";"0,0";"0,0";"10,20";"34,1";"";""
"01/01/2023";"1200";"28,2";"79,0";"983,5";"1,0";"50,0";"2,0";"";"";"22,5";"0,0"
"01/01/2023";"1800";"33,4";"52,0";"978,6";"1,0";"50,0";"2,0";"";"";"";""
"02/01/2023";"0000";"28,8";"74,0";"979,6";"0,0";"0,0";"0,0";"10,80";"34,1";"";""
"02/01/2023";"1200";"27,2";"78,0";"982,3";"1,0";"50,0";"2,0";"";"";"22,1";"0,0"
"02/01/2023";"1800";"33,8";"57,0";"978,4";"1,0";"50,0";"4,0";"";"";"";""
"03/01/2023";"0000";"28,0";"76,0";"978,6";"0,0";"0,0";"0,0";"6,70";"31,1";"";""
"03/01/2023";"1200";"26,4";"81,0";"983,1";"1,0";"50,0";"0,0";"";"";"22,1";"0,0"
"03/01/2023";"1800";"26,2";"85,0";"980,1";"1,0";"230,0";"7,0";"";"";"";""
"04/01/2023";"0000";"25,8";"95,0";"981,5";"0,0";"0,0";"5,0";"9,10";"34,7";"";""
"04/01/2023";"1200";"27,2";"83,0";"983,6";"1,0";"50,0";"0,0";"";"";"21,1";"7,4"
"04/01/2023";"1800";"33,0";"61,0";"980,0";"1,0";"140,0";"4,0";"";"";"";""
"05/01/2023";"0000";"28,0";"90,0";"980,1";"0,0";"0,0";"10,0";"2,10";"30,1";"";""
"05/01/2023";"1200";"26,8";"83,0";"983,3";"1,0";"50,0";"10,0";"";"";"23,3";"0,0"
"05/01/2023";"1800";"";"57,0";"980,2";"1,0";"50,0";"7,0";"";"";"";""
"06/01/2023";"0000";"22,6";"94,0";"983,4";"1,0";"50,0";"10,0";"3,30";"32,3";"";""
"06/01/2023";"1200";"24,8";"87,0";"984,5";"1,0";"50,0";"10,0";"";"";"21,1";"8,6"
"06/01/2023";"1800";"31,2";"66,0";"981,0";"1,0";"230,0";"10,0";"";"";"";""
"07/01/2023";"0000";"25,6";"86,0";"982,3";"0,0";"0,0";"10,0";"3,00";"32,1";"";""
"07/01/2023";"1200";"26,0";"85,0";"984,1";"1,0";"320,0";"10,0";"";"";"22,1";"3,8"
"07/01/2023";"1800";"30,0";"67,0";"981,7";"1,0";"140,0";"10,0";"";"";"";""
"08/01/2023";"0000";"26,2";"92,0";"982,3";"0,0";"0,0";"10,0";"6,50";"33,9";"";""
"08/01/2023";"1200";"26,0";"85,0";"984,4";"1,0";"50,0";"10,0";"";"";"21,3";"0,0"
"08/01/2023";"1800";"33,0";"63,0";"981,6";"1,0";"320,0";"4,0";"";"";"";""
"09/01/2023";"0000";"27,6";"89,0";"982,0";"0,0";"0,0";"2,0";"2,10";"30,1";"";""
"09/01/2023";"1200";"24,0";"91,0";"984,5";"1,0";"50,0";"10,0";"";"";"22,1";"0,0"
"09/01/2023";"1800";"25,0";"87,0";"982,0";"1,0";"140,0";"10,0";"";"";"";""
"10/01/2023";"0000";"25,4";"89,0";"981,3";"0,0";"0,0";"0,0";"4,00";"34,1";"";""
"10/01/2023";"1200";"25,0";"90,0";"984,4";"1,0";"50,0";"10,0";"";"";"21,1";"2,0"
"10/01/2023";"1800";"33,0";"56,0";"981,5";"1,0";"140,0";"7,0";"";"";"";""
"11/01/2023";"0000";"26,0";"85,0";"981,3";"0,0";"0,0";"0,0";"5,60";"34,1";"";""
"11/01/2023";"1200";"24,4";"91,0";"985,6";"1,0";"50,0";"10,0";"";"";"22,1";"0,2"
"11/01/2023";"1800";"32,2";"64,0";"982,0";"1,0";"140,0";"5,0";"";"";"";""
"12/01/2023";"0000";"27,0";"85,0";"981,9";"0,0";"0,0";"0,0";"5,20";"34,9";"";""
"12/01/2023";"1200";"26,6";"84,0";"983,6";"1,0";"50,0";"10,0";"";"";"22,1";"0,2"
"12/01/2023";"1800";"34,2";"61,0";"979,8";"1,0";"230,0";"5,0";"";"";"";""
