Data;Tmax;Tmin
01/01/2023;33.4;28.2
02/01/2023;33.8;27.2
03/01/2023;28.0;26.2
04/01/2023;33.0;25.8
05/01/2023;28.0;26.8
06/01/2023;31.2;22.6
07/01/2023;30.0;25.6
08/01/2023;33.0;26.0
09/01/2023;27.6;24.0
10/01/2023;33.0;25.0
11/01/2023;32.2;24.4
12/01/2023;34.2;26.6
13/01/2023;31.6;25.6
14/01/2023;28.0;26.0
15/01/2023;32.0;26.2
16/01/2023;30.0;23.8
17/01/2023;31.2;24.0
18/01/2023;30.2;26.0
19/01/2023;27.0;22.0
20/01/2023;31.6;22.0
21/01/2023;33.0;26.0
22/01/2023;31.6;27.6
23/01/2023;33.2;25.0
24/01/2023;35.0;27.6
25/01/2023;30.0;27.0
26/01/2023;32.0;27.0
27/01/2023;33.6;26.2
28/01/2023;28.0;26.2
29/01/2023;29.8;24.6
30/01/2023;34.4;26.0
31/01/2023;34.0;26.8
01/02/2023;29.2;26.6
02/02/2023;28.4;24.4
03/02/2023;31.8;25.4
04/02/2023;34.0;27.0
05/02/2023;30.0;24.8
06/02/2023;32.0;23.0
07/02/2023;29.0;24.0
08/02/2023;33.2;27.2
09/02/2023;28.2;28.0
10/02/2023;34.8;28.0
11/02/2023;30.6;28.0
12/02/2023;34.0;25.2
13/02/2023;36.0;27.0
14/02/2023;30.6;29.0
15/02/2023;32.0;26.0
16/02/2023;31.4;26.4
17/02/2023;32.6;27.8
18/02/2023;26.8;24.8
19/02/2023;23.6;23.0
20/02/2023;30.0;23.0
21/02/2023;31.8;23.8
22/02/2023;31.8;24.6
23/02/2023;29.4;21.6
24/02/2023;33.0;25.6
25/02/2023;31.8;27.0
26/02/2023;26.0;25.2
27/02/2023;26.0;23.6
28/02/2023;32.6;24.6
01/03/2023;34.0;25.0
02/03/2023;34.4;27.0
03/03/2023;34.0;26.0
04/03/2023;28.0;27.0
05/03/2023;28.4;28.4
06/03/2023;26.0;26.0
07/03/2023;27.8;26.8
08/03/2023;26.8;26.0
09/03/2023;25.8;23.0
10/03/2023;29.8;27.6
11/03/2023;27.0;27.0
12/03/2023;24.0;24.0
13/03/2023;24.8;24.8
14/03/2023;24.8;23.0
15/03/2023;26.6;22.8
16/03/2023;24.0;22.6
17/03/2023;27.0;24.0
18/03/2023;27.0;23.4
19/03/2023;26.6;26.6
20/03/2023;24.8;24.8
21/03/2023;27.0;24.0
22/03/2023;32.0;22.8
23/03/2023;32.0;25.4
24/03/2023;28.0;26.2
25/03/2023;34.0;27.0
26/03/2023;28.0;26.4
27/03/2023;27.4;23.6
28/03/2023;30.0;24.4
29/03/2023;31.0;26.0
30/03/2023;33.0;24.4
31/03/2023;32.2;27.0
01/04/2023;34.0;27.5
02/04/2023;33.8;27.6
03/04/2023;28.0;27.0
04/04/2023;32.6;24.8
05/04/2023;27.0;25.8
06/04/2023;31.0;23.0
07/04/2023;32.2;25.0
08/04/2023;30.4;27.2
09/04/2023;28.6;23.0
10/04/2023;28.0;24.0
11/04/2023;32.2;24.6
12/04/2023;33.4;26.0
13/04/2023;33.8;27.2
14/04/2023;34.0;28.0
15/04/2023;35.0;28.8
16/04/2023;32.0;28.0
17/04/2023;35.0;27.2
18/04/2023;29.6;27.0
19/04/2023;31.0;25.4
20/04/2023;33.2;27.6
21/04/2023;34.8;28.0
22/04/2023;34.0;29.0
23/04/2023;34.8;28.0
24/04/2023;35.0;25.0
25/04/2023;33.8;25.0
26/04/2023;35.0;28.0
27/04/2023;35.6;27.4
28/04/2023;36.8;29.0
29/04/2023;30.8;30.0
30/04/2023;32.0;27.0
01/05/2023;28.4;25.2
02/05/2023;33.6;24.8
03/05/2023;30.6;24.4
04/05/2023;32.0;24.0
05/05/2023;32.0;27.0
06/05/2023;33.0;26.4
07/05/2023;33.0;28.0
08/05/2023;35.0;25.0
09/05/2023;35.0;26.0
10/05/2023;36.0;29.0
11/05/2023;33.0;27.0
12/05/2023;34.0;24.0
13/05/2023;35.6;27.0
14/05/2023;32.0;26.0
15/05/2023;35.0;26.0
16/05/2023;34.0;27.0
17/05/2023;34.8;28.0
18/05/2023;31.0;27.0
19/05/2023;34.6;26.8
20/05/2023;34.0;27.8
21/05/2023;34.0;27.6
22/05/2023;35.0;27.0
23/05/2023;33.8;27.0
24/05/2023;33.2;27.0
25/05/2023;34.0;26.6
26/05/2023;34.0;28.2
27/05/2023;35.0;28.8
28/05/2023;35.8;28.0
29/05/2023;35.8;28.8
30/05/2023;35.2;27.8
31/05/2023;35.6;28.0
01/06/2023;36.2;26.0
02/06/2023;36.4;27.0
03/06/2023;35.0;28.4
04/06/2023;34.0;24.8
05/06/2023;34.4;26.2
06/06/2023;35.0;28.0
07/06/2023;29.2;26.8
08/06/2023;35.4;29.0
09/06/2023;36.4;29.0
10/06/2023;32.6;26.6
11/06/2023;35.0;27.0
12/06/2023;35.8;24.8
13/06/2023;36.0;26.2
14/06/2023;35.2;27.4
15/06/2023;35.8;26.8
16/06/2023;35.2;28.0
17/06/2023;35.8;29.6
18/06/2023;36.2;26.8
19/06/2023;36.0;26.6
20/06/2023;34.0;27.0
21/06/2023;34.8;27.2
22/06/2023;34.6;26.6
23/06/2023;34.4;27.0
24/06/2023;35.0;26.0
25/06/2023;35.4;26.6
26/06/2023;35.0;24.8
27/06/2023;33.4;24.6
28/06/2023;35.6;28.0
29/06/2023;36.0;25.0
30/06/2023;35.2;28.0
01/07/2023;36.0;28.2
02/07/2023;34.8;28.0
03/07/2023;28.8;25.0
04/07/2023;30.0;26.0
05/07/2023;30.2;26.2
06/07/2023;29.0;23.8
07/07/2023;28.8;26.6
08/07/2023;29.6;27.0
09/07/2023;30.0;30.0
10/07/2023;26.2;26.2
11/07/2023;29.8;25.6
12/07/2023;30.2;28.2
13/07/2023;30.0;24.0
14/07/2023;31.0;27.0
15/07/2023;31.0;28.8
16/07/2023;30.2;30.2
17/07/2023;24.0;24.0
18/07/2023;30.4;25.6
19/07/2023;30.4;25.6
20/07/2023;30.2;26.6
21/07/2023;28.8;26.0
22/07/2023;29.0;23.2
23/07/2023;29.0;29.0
24/07/2023;23.6;23.6
25/07/2023;29.0;23.0
26/07/2023;30.0;25.4
27/07/2023;30.4;27.6
28/07/2023;30.6;25.0
29/07/2023;30.6;28.2
30/07/2023;30.6;30.6
31/07/2023;27.0;27.0
01/08/2023;36.0;27.0
02/08/2023;36.0;31.0
03/08/2023;36.2;27.2
04/08/2023;37.6;28.0
05/08/2023;38.2;28.6
06/08/2023;38.6;27.6
07/08/2023;39.0;27.0
08/08/2023;38.0;29.8
09/08/2023;39.4;27.6
10/08/2023;37.2;28.0
11/08/2023;37.2;27.2
12/08/2023;38.0;27.0
13/08/2023;36.6;27.0
14/08/2023;37.0;24.0
15/08/2023;36.8;24.6
16/08/2023;37.0;27.8
17/08/2023;37.4;27.4
18/08/2023;38.6;28.0
19/08/2023;38.0;28.0
20/08/2023;39.2;31.0
21/08/2023;40.4;25.0
22/08/2023;39.0;29.4
23/08/2023;37.0;29.0
24/08/2023;38.0;26.8
25/08/2023;31.6;27.2
26/08/2023;37.8;27.6
27/08/2023;38.0;28.6
28/08/2023;36.0;27.4
29/08/2023;35.2;27.8
30/08/2023;37.6;27.0
31/08/2023;38.2;25.2
01/09/2023;35.4;26.2
02/09/2023;36.6;25.2
03/09/2023;36.8;26.4
04/09/2023;37.8;25.8
05/09/2023;38.8;24.8
06/09/2023;38.0;27.8
07/09/2023;36.0;30.2
08/09/2023;37.8;29.0
09/09/2023;38.6;27.6
10/09/2023;39.0;26.8
11/09/2023;38.8;26.4
12/09/2023;39.4;27.0
13/09/2023;39.8;27.2
14/09/2023;40.4;27.8
15/09/2023;41.0;29.0
16/09/2023;32.0;30.0
17/09/2023;38.8;30.0
18/09/2023;39.0;26.4
19/09/2023;39.2;27.4
20/09/2023;39.6;29.4
21/09/2023;40.4;29.0
22/09/2023;40.0;29.0
23/09/2023;40.6;30.6
24/09/2023;41.0;30.0
25/09/2023;41.2;28.0
26/09/2023;40.6;31.2
27/09/2023;38.8;28.4
28/09/2023;29.0;28.8
29/09/2023;39.2;29.8
30/09/2023;40.6;31.6
01/10/2023;41.0;31.8
02/10/2023;40.4;27.6
03/10/2023;40.4;32.2
04/10/2023;40.4;31.6
05/10/2023;40.4;30.6
06/10/2023;40.6;31.6
07/10/2023;36.0;24.4
08/10/2023;33.0;26.8
09/10/2023;37.0;26.0
10/10/2023;39.0;29.0
11/10/2023;36.6;28.6
12/10/2023;37.0;31.0
13/10/2023;38.0;29.2
14/10/2023;38.0;26.0
15/10/2023;34.6;25.8
16/10/2023;35.8;27.6
17/10/2023;37.0;28.0
18/10/2023;37.0;26.8
19/10/2023;36.6;26.8
20/10/2023;38.0;30.0
21/10/2023;39.6;30.0
22/10/2023;38.0;31.0
23/10/2023;37.0;28.0
24/10/2023;31.0;24.0
25/10/2023;33.6;24.0
26/10/2023;36.0;28.0
27/10/2023;37.0;29.4
28/10/2023;36.6;27.2
29/10/2023;37.0;31.0
30/10/2023;38.0;28.0
31/10/2023;37.0;28.4
01/11/2023;37.0;28.0
02/11/2023;36.4;28.2
03/11/2023;32.0;27.8
04/11/2023;35.0;25.0
05/11/2023;32.0;27.0
06/11/2023;27.0;23.6
07/11/2023;30.0;23.6
08/11/2023;33.0;25.0
09/11/2023;35.4;28.6
10/11/2023;36.6;29.6
11/11/2023;35.4;29.0
12/11/2023;36.8;30.0
13/11/2023;36.8;28.2
14/11/2023;37.0;31.0
15/11/2023;37.0;31.0
16/11/2023;33.0;25.0
17/11/2023;33.6;27.4
18/11/2023;36.0;28.2
19/11/2023;36.0;30.6
20/11/2023;28.0;26.0
21/11/2023;36.6;26.0
22/11/2023;30.4;28.2
23/11/2023;31.0;25.0
24/11/2023;27.0;27.0
27/11/2023;27.0;27.0
28/11/2023;30.0;26.0
29/11/2023;30.0;27.4
30/11/2023;31.4;27.4
01/12/2023;31.6;28.0
02/12/2023;31.4;28.4
03/12/2023;31.4;31.4
04/12/2023;25.0;25.0
05/12/2023;25.0;25.0
06/12/2023;30.0;27.0
07/12/2023;30.0;27.8
08/12/2023;30.0;26.4
09/12/2023;30.6;27.8
10/12/2023;25.0;25.0
