Mês,probabilidade_viabilidade_media,rendimento_medio,prob_esbranquiamento_media,prob_reducao_moagem_media
1,0.00000,0.00000,0.00000,0.00000
2,0.00000,0.00000,0.00000,0.00000
3,0.00000,0.00000,0.00000,0.00000
4,0.00000,0.00000,0.00000,0.00000
5,0.00000,0.00000,0.00000,0.00000
6,0.00000,0.00000,0.00000,0.00000
7,0.00000,0.00000,0.00000,0.00000
8,0.00000,0.00000,0.00000,0.00000
9,0.00000,0.00000,0.00000,0.00000
10,0.00000,0.00000,0.00000,0.00000
11,0.00000,0.00000,0.00000,0.00000
12,0.00000,0.00000,0.00000,0.00000
